lineA	-460552 0 -460552 0 -460552 0 -460552 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 
lineB	-460552 0 0 0 0 0 0 0 0 0 -460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 
lineC	-460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 
lineD	-460552 0 0 0 -460552 0 0 0 -460552 0 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 0 0 -460552 -460552 -460552 0 -460552 -460552 -460552 0 -460552 -460552 -460552 0 -460552 -460552 -460552 0 -460552 -460552 -460552 0 -460552 -460552 -460552 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 
lineE	-460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 
