skewA	-460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 
skewB	-460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 
skewC	-460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
skewD	0 0 0 -460552 0 0 0 0 0 0 0 0 0 -460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 0 0 0 0 0 0 0 0 0 -460552 
skewE	-460552 -460552 0 0 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 -460552 0 0 -460552 -460552 -460552 -460552 -460552 -460552 0 0 0 -460552 -460552 -460552 -460552 -460552 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 -460552 0 0 0 0 0 0 -460552 -460552 0 0 0 0 
